,pet_id,primary_breed,mixed_breed,age,gender,shelter_name,num_photos,pet_location,adoption_fee
3924,73714095,German Shepherd Dog,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
3925,73714224,Mixed Breed,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
3926,73714225,Mixed Breed,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
3927,73714229,Mixed Breed,True,Young,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3928,73714479,Mixed Breed,True,Young,Female,LifeLine Animal Project,1,"Atlanta, GA",
3929,73714480,Mixed Breed,True,Young,Male,LifeLine Animal Project,1,"Atlanta, GA",
3930,73714560,Mixed Breed,True,Young,Male,Douglas County Animal Shelter,6,"Douglasville, GA",
3931,73714629,Great Pyrenees,False,Young,Male,Madison Oglethorpe Animal Shelter,1,"Danielsville, GA",
3932,73714757,Black Labrador Retriever,True,Baby,Male,Humane Society of Harris County,1,"Hamilton, GA",
3933,73714905,Boxer,True,Adult,Male,Gwinnett County Animal Control and Welfare,1,"Lawrenceville, GA",
3934,73714906,Jack Russell Terrier,True,Adult,Male,Gwinnett County Animal Control and Welfare,1,"Lawrenceville, GA",
3935,73714951,German Shepherd Dog,False,Adult,Female,Butts County Humane Society aka Butts Mutts,4,"Jackson, GA",
3936,73715009,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3937,73715010,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,2,"Chamblee, GA",
3938,73715011,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,2,"Chamblee, GA",
3939,73715014,Shepherd,True,Senior,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3940,73715015,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3941,73715062,Mixed Breed,True,Baby,Male,Fulton County Animal Services,1,"Atlanta, GA",
3942,73715064,Mixed Breed,True,Baby,Male,Fulton County Animal Services,1,"Atlanta, GA",
3943,73715065,Mixed Breed,True,Young,Male,Fulton County Animal Services,1,"Atlanta, GA",
3944,73715066,Mixed Breed,True,Baby,Male,Fulton County Animal Services,1,"Atlanta, GA",
3945,73715223,Pit Bull Terrier,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
