,pet_id,primary_breed,mixed_breed,age,gender,size,shelter_name,shelter_id,zip_code,num_photos,pet_location,health,adoption_fee,adoption_fee2
55,52003008,Pit Bull Terrier,False,Adult,Female,Medium,Peach County Animal Rescue,GA918,31057,6,"Marshallville, GA","Vaccinations up to date, spayed / neutered.",,
56,50515849,Boxer,True,Young,Female,Medium,Peach County Animal Rescue,GA918,31057,6,"Marshallville, GA","Vaccinations up to date, spayed / neutered.",,
57,50464736,American Staffordshire Terrier,False,Adult,Male,Medium,Peach County Animal Rescue,GA918,31057,6,"Marshallville, GA","Vaccinations up to date, spayed / neutered.",,
58,73756347,Chiweenie,False,Baby,Male,Small,Atlanta Canine Adoption Project,GA244,31064,1,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
59,73314674,Shepherd,True,Young,Male,Large,Atlanta Canine Adoption Project,GA244,31064,2,"Monticello, GA",,,
60,71467443,Chihuahua,True,Adult,Female,Small,Atlanta Canine Adoption Project,GA244,31064,6,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
61,71262904,Shih Tzu,False,Senior,Female,Small,Atlanta Canine Adoption Project,GA244,31064,5,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
62,71262886,Shih Tzu,False,Senior,Female,Small,Atlanta Canine Adoption Project,GA244,31064,5,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
63,70886420,Aussiedoodle,False,Adult,Female,Large,Atlanta Canine Adoption Project,GA244,31064,1,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
64,70886153,Aussiedoodle,False,Adult,Male,Large,Atlanta Canine Adoption Project,GA244,31064,1,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
65,65523986,Shepherd,False,Young,Male,Large,Atlanta Canine Adoption Project,GA244,31064,6,"Monticello, GA","Vaccinations up to date, spayed / neutered, special needs.",,
66,59954760,Wirehaired Terrier,False,Adult,Male,Small,Atlanta Canine Adoption Project,GA244,31064,3,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
67,55464973,Terrier,False,Adult,Male,Small,Atlanta Canine Adoption Project,GA244,31064,2,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
68,53136174,Poodle,False,Adult,Female,Small,Atlanta Canine Adoption Project,GA244,31064,6,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
69,48709233,Terrier,True,Adult,Female,Medium,Atlanta Canine Adoption Project,GA244,31064,6,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
70,48688040,Terrier,True,Adult,Female,Medium,Atlanta Canine Adoption Project,GA244,31064,5,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
71,48478086,Poodle,False,Adult,Male,Small,Atlanta Canine Adoption Project,GA244,31064,4,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
72,37184690,Chihuahua,False,Senior,Female,Small,Atlanta Canine Adoption Project,GA244,31064,5,"Monticello, GA","Vaccinations up to date, spayed / neutered.",,
73,72802253,Mixed Breed,True,Young,Female,Medium,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,"Eastman, GA",Spayed / neutered.,,
74,72802251,Mixed Breed,True,Young,Female,Medium,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,"Eastman, GA",Spayed / neutered.,,
75,72678951,Chihuahua,True,Baby,Male,Medium,Faithful Hearts Animal Shelter Inc.,GA216,31023,2,"Eastman, GA",Spayed / neutered.,,
