,pet_id,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,fee_waived,pet_location,characteristics,house_trained,health,adoption_fee,clean_pet_names
94,72113102,Labrador Retriever,None,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Athena
95,71809761,Australian Cattle Dog / Blue Heeler,Shepherd,True,Senior,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Tyson
96,71786745,Shepherd,None,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,N/A,Spayed / neutered.,,Jett
97,71786746,Shepherd,None,True,Baby,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,N/A,N/A,,Betsy
98,71757938,American Staffordshire Terrier,None,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,False,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Jojo
99,71708839,Terrier,Labrador Retriever,True,Adult,Male,Large,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,N/A,Spayed / neutered.,,Romello
100,71692320,American Staffordshire Terrier,None,True,Adult,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,False,False,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Dobbins
101,71641218,Boxer,Labrador Retriever,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Chico
102,71573717,American Bulldog,None,True,Senior,Male,Large,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,Unknown,Unknown,Unknown,False,"Decatur, GA",N/A,Yes,"Spayed / neutered, special needs.",,Boomer
103,71310202,American Bulldog,Boxer,True,Adult,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Dexter
104,71287062,Hound,Terrier,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Teddy
105,71248825,American Bulldog,Terrier,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Cullen
106,71160321,Hound,None,True,Adult,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,Unknown,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Sugarfoot
107,70936634,Shepherd,None,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,False,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Piper
108,70698610,Terrier,American Bulldog,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,N/A,Spayed / neutered.,,Bingo
109,70616598,Labrador Retriever,None,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,True,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Abraham
110,70507922,American Bulldog,Terrier,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,Unknown,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Avali
111,70275551,American Bulldog,American Staffordshire Terrier,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Jerry
112,70149218,Catahoula Leopard Dog,None,True,Young,Female,Large,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,False,False,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Marie
113,70138557,Hound,None,True,Adult,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,False,False,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Nalla
114,70115419,Rottweiler,None,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Kiya
115,69947262,Border Collie,Australian Cattle Dog / Blue Heeler,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Starla.
116,69703926,Terrier,None,True,Young,Female,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,N/A,,Roxie
117,69703927,Terrier,None,True,Young,Male,Medium,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,Unknown,True,False,"Decatur, GA",N/A,Yes,N/A,,Ollie
118,69534379,Great Pyrenees,None,True,Young,Male,Large,Unknown,None,Unknown,Doggie Harmony,GA627,30030,3,True,True,Unknown,False,"Decatur, GA",N/A,Yes,Spayed / neutered.,,Jaxon
