pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health
71802850,Murphy (G-2),Australian Cattle Dog / Blue Heeler,,True,Young,Male,Medium,,,,Save A Pet Inc,GA174,31029,2,,False,,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
71802852,Miles,Australian Cattle Dog / Blue Heeler,,True,Young,Male,Medium,,,,Save A Pet Inc,GA174,31029,3,,,,,False,"Forsyth, GA",N/A,N/A,Spayed / neutered.
71802851,Bear Bear,Australian Cattle Dog / Blue Heeler,,True,Young,Male,Medium,,,,Save A Pet Inc,GA174,31029,3,,False,True,,False,"Forsyth, GA",N/A,N/A,Spayed / neutered.
71040575,Emma,Pointer,Labrador Retriever,True,Adult,Female,Large,,,,Save A Pet Inc,GA174,31029,5,,False,False,,False,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
70878163,Rocco,Terrier,,True,Adult,Male,Small,,,,Save A Pet Inc,GA174,31029,3,,,True,,False,"Forsyth, GA",N/A,N/A,Vaccinations up to date.
70825868,Ozark,Labrador Retriever,Great Pyrenees,True,Adult,Male,Large,,,,Save A Pet Inc,GA174,31029,5,False,,True,,False,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
70825866,Stacy,Labrador Retriever,,True,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,0,,,,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
70825863,Trudy,Labrador Retriever,,True,Adult,Female,Medium,,,,Save A Pet Inc,GA174,31029,1,,,,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
70825862,Barbie,Labrador Retriever,,True,Young,Female,Medium,,,,Save A Pet Inc,GA174,31029,2,,,,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
70825861,Skipper,Labrador Retriever,,True,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,2,,,,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
70721533,Brooke,Weimaraner,,True,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,5,,,,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
70031231,Dino (Houndini),Hound,,True,Adult,Male,Large,,,,Save A Pet Inc,GA174,31029,6,True,,True,,False,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
69684608,Bandit,Terrier,,True,Adult,Male,Large,,,,Save A Pet Inc,GA174,31029,3,,,True,,False,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
68673675,Amor,Boxer,Shepherd,True,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,3,,,,,False,"Forsyth, GA",N/A,N/A,Spayed / neutered.
65846228,Ranger,Weimaraner,,True,Young,Male,Large,,,,Save A Pet Inc,GA174,31029,2,,,,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
65761443,Charlie,Weimaraner,,True,Young,Male,Medium,,,,Save A Pet Inc,GA174,31029,5,,,True,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
64822074,Sir Gregory,Boxer,,True,Adult,Male,Medium,,,,Save A Pet Inc,GA174,31029,3,,,True,,False,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
64483330,Cowboy,Terrier,Pointer,True,Adult,Male,Large,,,,Save A Pet Inc,GA174,31029,6,,,,,False,"Forsyth, GA",N/A,Yes,Spayed / neutered.
64228419,Alberto,Boxer,Shepherd,True,Young,Male,Large,,,,Save A Pet Inc,GA174,31029,1,,,True,,False,"Forsyth, GA",N/A,N/A,Spayed / neutered.
55392991,Maxwell,Labrador Retriever,Shepherd,True,Adult,Male,Medium,,,,Save A Pet Inc,GA174,31029,4,,,True,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
54734367,Prince Charming,American Staffordshire Terrier,,True,Adult,Male,Large,,,,Save A Pet Inc,GA174,31029,4,,,,,False,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
52003008,Olive,Pit Bull Terrier,,False,Adult,Female,Medium,,,Short,Peach County Animal Rescue,GA918,31057,6,,False,True,,False,"Marshallville, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
